Timestamp,RED,IR,Ax,Ay,Az,Gx,Gy,Gz,Temperature
2021-01-01 01:56:01,6896,12478,-0.83,-0.35,0.16,3,3,2,28.84
2021-01-01 01:56:31,6912,12522,-0.83,-0.35,0.17,3,3,1,28.84
2021-01-01 01:57:01,6914,12547,-0.83,-0.35,0.16,3,3,1,28.84
2021-01-01 01:57:31,6920,12547,-0.83,-0.35,0.16,3,3,1,28.84
2021-01-01 01:58:01,6945,12615,-0.84,-0.34,0.15,3,3,1,28.84
2021-01-01 01:58:31,6932,12541,-0.83,-0.34,0.17,3,3,1,28.93
2021-01-01 01:59:01,6932,12533,-0.83,-0.34,0.16,2,3,1,28.93
2021-01-01 01:59:31,6940,12536,-0.83,-0.34,0.16,3,3,1,28.93
2021-01-01 02:00:01,6942,12541,-0.83,-0.34,0.17,3,2,1,29.73
2021-01-01 02:00:31,6939,12520,-0.84,-0.34,0.16,3,3,1,28.84
2021-01-01 02:01:01,6925,12471,-0.84,-0.34,0.17,3,2,1,28.88
2021-01-01 02:01:31,6949,12531,-0.84,-0.33,0.16,3,3,2,28.93
2021-01-01 02:02:01,6959,12578,-0.83,-0.33,0.16,2,3,1,29.73
2021-01-01 02:02:31,6958,12556,-0.83,-0.33,0.17,3,3,1,28.93
2021-01-01 02:03:01,6963,12562,-0.83,-0.33,0.17,2,3,1,29.73
2021-01-01 02:03:31,6954,12533,-0.84,-0.33,0.17,3,2,1,28.88
2021-01-01 02:04:01,6967,12557,-0.84,-0.33,0.17,3,3,1,29.73
2021-01-01 02:04:31,6259,12029,-0.6,-0.56,-0.6,2,3,1,28.88
2021-01-01 02:05:01,6292,11992,-0.52,-0.55,-0.7,3,3,1,28.74
2021-01-01 02:05:31,6287,11916,-0.5,-0.55,-0.71,3,3,2,28.74
2021-01-01 02:06:01,6319,11994,-0.51,-0.55,-0.71,2,3,1,28.46
2021-01-01 02:06:31,6336,12025,-0.5,-0.54,-0.7,3,3,1,28.41
2021-01-01 02:07:01,6333,11995,-0.51,-0.55,-0.71,3,3,1,28.27
2021-01-01 02:07:31,6343,12019,-0.5,-0.54,-0.72,3,3,1,28.18
2021-01-01 02:08:01,1599,1290,-0.08,-0.59,-0.76,41,34,33,28.13
2021-01-01 02:08:31,3424,3474,0.1,-0.37,-1.05,3,2,1,28.46
2021-01-01 02:09:01,3451,3554,0.11,-0.36,-1.04,2,3,0,28.65
2021-01-01 02:09:31,3405,3459,0.12,-0.35,-1.04,5,2,3,28.74
2021-01-01 02:10:01,3386,3441,0.11,-0.36,-1.04,2,3,0,28.93
2021-01-01 02:10:31,3401,3514,0.11,-0.36,-1.05,3,3,1,28.88
2021-01-01 02:11:01,3386,3487,0.12,-0.35,-1.04,3,3,1,29.07
2021-01-01 02:11:31,3375,3465,0.12,-0.35,-1.05,2,3,0,29.07
2021-01-01 02:12:01,3380,3505,0.13,-0.35,-1.05,1,3,-1,29.07
2021-01-01 02:12:31,3381,3499,0.12,-0.34,-1.04,2,3,0,29.07
2021-01-01 02:13:01,3374,3476,0.12,-0.34,-1.05,3,2,2,29.21
2021-01-01 02:13:31,3378,3490,0.12,-0.34,-1.04,2,3,1,29.26
2021-01-01 02:14:01,3372,3456,0.11,-0.34,-1.04,3,3,2,29.21
2021-01-01 02:14:31,3348,3451,0.12,-0.33,-1.05,2,3,1,29.26
2021-01-01 02:15:01,3386,3540,0.13,-0.31,-1.05,1,3,0,29.31
2021-01-01 02:15:31,3387,3563,0.13,-0.33,-1.05,2,3,1,29.26
2021-01-01 02:16:01,3387,3487,0.13,-0.34,-1.05,2,2,1,29.31
2021-01-01 02:16:31,3383,3546,0.13,-0.33,-1.05,3,3,1,29.26
2021-01-01 02:17:01,3375,3509,0.12,-0.32,-1.05,3,3,1,29.31
2021-01-01 02:17:31,3402,3578,0.13,-0.33,-1.05,3,3,2,29.35
2021-01-01 02:18:01,3396,3579,0.13,-0.32,-1.05,3,2,2,29.35
2021-01-01 02:18:31,470,374,-0.11,0.54,-0.89,3,3,2,29.26
